comment,clean_comment
KEREN BANGET WAKIL PRESIDEN EUG ❤,keren banget wakil presiden eug
Coki muslim bngst wkwkwkwkwkwkw😂😂😂😂😂😂,coki muslim bngst wkwkwkwkwkwkw
"Nitip sampain, 
19jt lapangan pekerjaan ini untuk sipil atau yg mana?",nitip sampain jt lapangan pekerjaan ini untuk sipil atau yg mana
Sepertinya ini AI,sepertinya ini ai
Kok bisa ya. Klian heran gak sihhh,kok bisa ya klian heran gak sihhh
"Termul disebelah pada ngebela alter ego 😂, ga heran dah wakanda",termul disebelah pada ngebela alter ego ga heran dah wakanda
"Orang sesantai dan sekalem itu banyak yg hina, kadang kadang emang",orang sesantai dan sekalem itu banyak yg hina kadang kadang emang
YG ONO MAH LEWAAAAT HAHAHA,yg ono mah lewaaaat hahaha
Kenapa KKB tidak dikunjungi itu kan warga papua juga,kenapa kkb tidak dikunjungi itu kan warga papua juga
"W NGANTUK JADI PENGEN BERAK
🥳🥳🥳",w ngantuk jadi pengen berak
anjir kosong😂,anjir kosong
Nah kan😂😂,nah kan
Gila restoran di sewa cuma buat bikin konten ginian😂.. untung banget itu yg punya resto nya😅,gila restoran di sewa cuma buat bikin konten ginian untung banget itu yg punya resto nya
Kenapa ga ngantor di IKN aja? Lumayan tetot tetot pejabat berkurang di Jakarta,kenapa ga ngantor di ikn aja lumayan tetot tetot pejabat berkurang di jakarta
"Hallo mas wapres,mereka berdua itu menertawaimu bukan tertawa Bersamamu 🤣🤣🤣🤣🤣🤣",hallo mas wapresmereka berdua itu menertawaimu bukan tertawa bersamamu
anjir ga pemanasan dulu cok,anjir ga pemanasan dulu cok
negara lagi repot bisa bisa nya dia ngobrol santai gitu.,negara lagi repot bisa bisa nya dia ngobrol santai gitu
Ketawany coki merusak tatanan negara😂,ketawany coki merusak tatanan negara
Satttt ahahaha😅,satttt ahahaha
Gambrah ne jamak wapres😂😂,gambrah ne jamak wapres
Satttt 😅😅😅. Roasting ter........kasian woy anak orang itu 😅😅,satttt roasting terkasian woy anak orang itu
Ini doang kontennya ?,ini doang kontennya
Logikanya kalo pak jokowi dalam menjalankan tugas sebagai presiden di mata masyarakat jelek atau nggak baik nggak mungkin pak Prabowo dan mas Gibran terpilih jadi presiden dan wakil presiden satu putaran lagi.. cuma orang2 yang nggak suka selalu mencari celah salah pak jokowi,logikanya kalo pak jokowi dalam menjalankan tugas sebagai presiden di mata masyarakat jelek atau nggak baik nggak mungkin pak prabowo dan mas gibran terpilih jadi presiden dan wakil presiden satu putaran lagi cuma orang yang nggak suka selalu mencari celah salah pak jokowi
18 menit ngakak mulu wkwkwkwk,menit ngakak mulu wkwkwkwk
Anak Abah pasti pada keluar dari goa ni,anak abah pasti pada keluar dari goa ni
Kenapa ga nanya fufufafa,kenapa ga nanya fufufafa
"di indo doang, wakil presiden di cengin😂",di indo doang wakil presiden di cengin
"Nah mending gini lah, didepan orangnya langsung, jadi ga menimbulkan polemik.. Cuma gw salut sama Gibran, bijak bgt nanggapinya",nah mending gini lah didepan orangnya langsung jadi ga menimbulkan polemik cuma gw salut sama gibran bijak bgt nanggapinya
",",
"Pak Gibran dlm hatinya pasti pngen bilang ""bngst dua org ini jokesnya"" tapi ketahan jabatan 😂",pak gibran dlm hatinya pasti pngen bilang bngst dua org ini jokesnya tapi ketahan jabatan
Selama gibran byk yg dukung...pesimis Indonesia emas..buzzer gibran maju klian smua😊,selama gibran byk yg dukungpesimis indonesia emasbuzzer gibran maju klian smua
"Bagaimanapun,suka ga suka, dia tetap wakil presiden
Coki manggilnya 
Lo ga tau?
Hargai juga lah",bagaimanapunsuka ga suka dia tetap wakil presiden coki manggilnya lo ga tau hargai juga lah
Bahaya harus dilaporkan kpk wapres mau disogok pakai kartu member makan seumur hidup😂😂😂 pasti mengharapkan proyek ratusan trilyun......,bahaya harus dilaporkan kpk wapres mau disogok pakai kartu member makan seumur hidup pasti mengharapkan proyek ratusan trilyun
anjir wapres d buli,anjir wapres d buli
kebanyakan bikin konten sama orang idiot autis cacat. Ini malah ngobrol stengah jam sama orang idiot autis cacat goblok 😅😅😅😅😅,kebanyakan bikin konten sama orang idiot autis cacat ini malah ngobrol stengah jam sama orang idiot autis cacat goblok
Anjirrrr😁😁😁😁,anjirrrr
"pasti nanti dsri sekian yang nonton ada aja yang mikir “ kenapa wapres malah dateng ke kegiatan begini, bukannya ngurusin dateng pas bencana atau isu isu pemerintah” pastiiiii yakin 100% ada yang mikir gitu masyarakat 😂",pasti nanti dsri sekian yang nonton ada aja yang mikir kenapa wapres malah dateng ke kegiatan begini bukannya ngurusin dateng pas bencana atau isu isu pemerintah pastiiiii yakin ada yang mikir gitu masyarakat
"Klw gw jd panji malu bngt sampe ubun""",klw gw jd panji malu bngt sampe ubun
Om coki nahan diri,om coki nahan diri
kalian ber 2 sih ajg ya awkoakwokaow,kalian ber sih ajg ya awkoakwokaow
Bangkitlah FuFuFaFa,bangkitlah fufufafa
"Dia tau bahwa segala sesuatu yg d selesaikan dgn emosi tidak akan berakhir baik, mantap mas wapres",dia tau bahwa segala sesuatu yg d selesaikan dgn emosi tidak akan berakhir baik mantap mas wapres
Gini amat yaaa wapres kita 😂,gini amat yaaa wapres kita
Bocah kontoooolllll...,bocah kontoooolllll
Adu tahan tawa dong Gibran vs coki anwar,adu tahan tawa dong gibran vs coki anwar
"LU ITU WAPRES, GAPENTING BGT GINI2AN OON BANGET",lu itu wapres gapenting bgt ginian oon banget
Pada ngantri jabatan komisaris nihh..🤭,pada ngantri jabatan komisaris nihh
ane lg makan langsung muncrat gara2 ada nama roy suryo 😁,ane lg makan langsung muncrat gara ada nama roy suryo
4:22 buajingannnn😂😂😂😂😂🦅🦅🦅🦅,buajingannnn
2 orang pemberani dan 1 penerus bangsa 🗿,orang pemberani dan penerus bangsa
"sangat tidak punya integritas, najis.",sangat tidak punya integritas najis
"Kapan lagi ""lo"" in wapres ya cok ?",kapan lagi lo in wapres ya cok
"Panji & Komika lain dapet cuan dari mens rea, Gibran dapet eksposure dari panji. Buzzerp juga dapet cuan dari kasus panji.  Lah netizen cuman dapet dosa karna terusan ngebully ciptaan tuhan",panji komika lain dapet cuan dari mens rea gibran dapet eksposure dari panji buzzerp juga dapet cuan dari kasus panji lah netizen cuman dapet dosa karna terusan ngebully ciptaan tuhan
"Masalah mbg mas gibran, gaji supir MBG umr sedangkan gaji guru honorer 500 rbu bahkan ada yg d bawah itu gimana tu mas gibran?",masalah mbg mas gibran gaji supir mbg umr sedangkan gaji guru honorer rbu bahkan ada yg d bawah itu gimana tu mas gibran
Pria solo itu lag,pria solo itu lag
Muslim coki emang cuakkkkkssss... Kritik nge jokesnya gila parah,muslim coki emang cuakkkkkssss kritik nge jokesnya gila parah
"bebek carok emang enak banget,,,,,",bebek carok emang enak banget
Kocak pak wapres 😂😂,kocak pak wapres
Ajak ke konten kesenjangan sosial harusnya😂,ajak ke konten kesenjangan sosial harusnya
Durasinya Kurang Panjang Slim😂,durasinya kurang panjang slim
"wkakakakak gw yakin bgt coki pas bilang asli asli, tretan udah deg degan .. wkakakakakaak tkut bokapnya d bawa2 wkakakakakkaak",wkakakakak gw yakin bgt coki pas bilang asli asli tretan udah deg degan wkakakakakaak tkut bokapnya d bawa wkakakakakkaak
Wibawa orang terpenting di indonesia kedua hancur. wakil presiden begini amat ya. Kayak gk ada sibuk2nya,wibawa orang terpenting di indonesia kedua hancur wakil presiden begini amat ya kayak gk ada sibuknya
"Kok Crew Gak Ada Yang Ngakak, Lucu Lhoooo iniiiii.",kok crew gak ada yang ngakak lucu lhoooo iniiiii
bjirrr omongan template itu tayang lagi,bjirrr omongan template itu tayang lagi
gibran reting kanan belok kiri banget auranya disini 😂,gibran reting kanan belok kiri banget auranya disini
GOKIL😂😂,gokil
KENAPA NGGA DI TANYA SOAL FUFUFAFA SATTTT🙂,kenapa ngga di tanya soal fufufafa satttt
Ciyee mau buktiin bos nya ga baperan...😂,ciyee mau buktiin bos nya ga baperan
Awas mas gratifikasi membernya,awas mas gratifikasi membernya
dari lahir pelanga pelongo,dari lahir pelanga pelongo
