comment,clean_comment,sentiment
KEREN BANGET WAKIL PRESIDEN EUG ❤,keren banget wakil presiden eug,positive
Coki muslim bngst wkwkwkwkwkwkw😂😂😂😂😂😂,coki muslim bngst wkwkwkwkwkwkw,negative
"Nitip sampain, 
19jt lapangan pekerjaan ini untuk sipil atau yg mana?",nitip sampain jt lapangan pekerjaan ini untuk sipil atau yg mana,negative
Sepertinya ini AI,sepertinya ini ai,negative
Kok bisa ya. Klian heran gak sihhh,kok bisa ya klian heran gak sihhh,negative
"Termul disebelah pada ngebela alter ego 😂, ga heran dah wakanda",termul disebelah pada ngebela alter ego ga heran dah wakanda,negative
"Orang sesantai dan sekalem itu banyak yg hina, kadang kadang emang",orang sesantai dan sekalem itu banyak yg hina kadang kadang emang,negative
YG ONO MAH LEWAAAAT HAHAHA,yg ono mah lewaaaat hahaha,negative
Kenapa KKB tidak dikunjungi itu kan warga papua juga,kenapa kkb tidak dikunjungi itu kan warga papua juga,negative
"W NGANTUK JADI PENGEN BERAK
🥳🥳🥳",w ngantuk jadi pengen berak,negative
anjir kosong😂,anjir kosong,negative
Nah kan😂😂,nah kan,negative
Gila restoran di sewa cuma buat bikin konten ginian😂.. untung banget itu yg punya resto nya😅,gila restoran di sewa cuma buat bikin konten ginian untung banget itu yg punya resto nya,positive
Kenapa ga ngantor di IKN aja? Lumayan tetot tetot pejabat berkurang di Jakarta,kenapa ga ngantor di ikn aja lumayan tetot tetot pejabat berkurang di jakarta,negative
"Hallo mas wapres,mereka berdua itu menertawaimu bukan tertawa Bersamamu 🤣🤣🤣🤣🤣🤣",hallo mas wapresmereka berdua itu menertawaimu bukan tertawa bersamamu,negative
anjir ga pemanasan dulu cok,anjir ga pemanasan dulu cok,negative
negara lagi repot bisa bisa nya dia ngobrol santai gitu.,negara lagi repot bisa bisa nya dia ngobrol santai gitu,neutral
Ketawany coki merusak tatanan negara😂,ketawany coki merusak tatanan negara,negative
Satttt ahahaha😅,satttt ahahaha,positive
Gambrah ne jamak wapres😂😂,gambrah ne jamak wapres,neutral
